,index,gene,filename,thr,angle,assym,tag
0,3,Chordin,Chordin_st.15_20210902_20211005_embryo1_1_expression,54,-7,0.3373055279708705,Chordin_st.15_20210902_20211005_embryo1
1,19,Chordin,Chordin_st.15_20210902_20211005_embryo2_1_expression,35,9,0.19396072619488705,Chordin_st.15_20210902_20211005_embryo2
2,182,Chordin,Chordin_st.15_20210916_20211005_embryo1_1_expression,59,-8,0.14035206347059748,Chordin_st.15_20210916_20211005_embryo1
3,73,Chordin,Chordin_st.15_20210916_20211005_embryo2_1_expression,53,3,0.12795828319294025,Chordin_st.15_20210916_20211005_embryo2
4,50,Chordin,Chordin_st.15_20210916_20211005_embryo3_1_expression,42,0,0.12271090937548912,Chordin_st.15_20210916_20211005_embryo3
5,140,Chordin,Chordin_st.15_20210916_20211005_embryo4_1_expression,55,-10,0.14224280516043664,Chordin_st.15_20210916_20211005_embryo4
6,30,Chordin,Chordin_st.15_20210916_20211005_embryo5_1_expression,53,0,0.22186182289977294,Chordin_st.15_20210916_20211005_embryo5
7,19,Chordin,Chordin_st.15_20210916_20211005_embryo6_1_expression,61,9,0.17327172560867246,Chordin_st.15_20210916_20211005_embryo6
8,39,Chordin,Chordin_st.15_20210916_20211005_embryo7_1_expression,42,9,0.15494904128519604,Chordin_st.15_20210916_20211005_embryo7
9,199,Chordin,Chordin_st.15_20210916_20211005_embryo8_1_expression,54,9,0.3875391997581894,Chordin_st.15_20210916_20211005_embryo8
10,98,Chordin,Chordin_st.15_20210916_20211005_embryo9_1_expression,44,8,0.09761549925484347,Chordin_st.15_20210916_20211005_embryo9
11,199,Nodal,Nodal_st.15_20210919_20211012_embryo1_2_expression,144,9,0.3460403190353577,Nodal_st.15_20210919_20211012_embryo1
12,40,Nodal,Nodal_st.15_20210919_20211012_embryo2_1_expression,42,-10,0.2826062826062826,Nodal_st.15_20210919_20211012_embryo2
13,140,Nodal,Nodal_st.15_20210919_20211012_embryo3_1_expression,55,-10,0.3537163162570328,Nodal_st.15_20210919_20211012_embryo3
14,169,Nodal,Nodal_st.15_20210919_20211012_embryo5_1_expression,57,-1,0.3375537114179814,Nodal_st.15_20210919_20211012_embryo5
15,137,Nodal,Nodal_st.15_20210919_20211012_embryo6_2_expression,151,7,0.19802100900095496,Nodal_st.15_20210919_20211012_embryo6
16,135,Szl,Sizzled_st.15_20210916_20211011_embryo1_1_expression,55,5,0.2322680744740873,Sizzled_st.15_20210916_20211011_embryo1
17,469,Szl,Sizzled_st.15_20210916_20211011_embryo2_3_expression,158,-1,0.17685849230325135,Sizzled_st.15_20210916_20211011_embryo2
18,40,Szl,Sizzled_st.15_20210919_20211011_embryo2_1_expression,47,-10,0.25857525441885376,Sizzled_st.15_20210919_20211011_embryo2
19,75,Szl,Sizzled_st.15_20210919_20211011_embryo3_2_expression,148,5,0.2315582551677697,Sizzled_st.15_20210919_20211011_embryo3
